
result 1
0: 4 5 4 4 3 | waste: 0/20
14: 4 7 3 4 7 | waste: 0/25
15: 6 4 | waste: 0/10
16: 8 10 4 | waste: 0/22
17: 3 7 | waste: 0/10
18: 10 | waste: 0/10
19: 10 | waste: 0/10
20: 9 7 6 | waste: 0/22
21: 10 | waste: 0/10
22: 10 | waste: 0/10
23: 7 3 | waste: 0/10
24: 7 3 | waste: 0/10
25: 9 7 4 | waste: 0/20
fitness: 1 total_wastage: 0 found at: 63

result 9
0: 8 7 | waste: 0/15
1: 8 7 7 | waste: 0/22
2: 4 9 8 4 | waste: 0/25
3: 7 3 6 4 | waste: 0/20
4: 3 7 5 | waste: 0/15
5: 7 3 | waste: 0/10
6: 4 9 | waste: 0/13
7: 7 3 | waste: 0/10
8: 6 5 4 | waste: 0/15
9: 7 3 | waste: 0/10
10: 10 | waste: 0/10
11: 7 7 5 3 | waste: 0/22
12: 4 8 5 4 4 | waste: 0/25
13: 7 7 7 4 | waste: 0/25
14: 8 7 | waste: 0/15
15: 9 6 6 4 | waste: 0/25
16: 5 7 10 | waste: 0/22
17: 9 4 | waste: 0/13
18: 10 | waste: 0/10
19: 6 10 4 | waste: 0/20
20: 10 | waste: 0/10
21: 8 5 | waste: 0/13
22: 10 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 56

result 10
0: 3 4 7 4 4 | waste: 0/22
1: 10 | waste: 0/10
2: 7 8 | waste: 0/15
3: 6 7 | waste: 0/13
4: 7 6 4 3 5 | waste: 0/25
5: 4 7 5 4 | waste: 0/20
6: 4 9 | waste: 0/13
7: 9 7 4 | waste: 0/20
8: 8 7 7 | waste: 0/22
9: 7 8 | waste: 0/15
10: 5 8 | waste: 0/13
11: 5 7 8 | waste: 0/20
12: 3 7 3 | waste: 0/13
13: 9 5 4 4 | waste: 0/22
14: 9 6 7 | waste: 0/22
15: 6 7 | waste: 0/13
16: 8 6 4 4 | waste: 0/22
17: 10 | waste: 0/10
18: 3 3 7 7 | waste: 0/20
19: 10 10 | waste: 0/20
20: 10 | waste: 0/10
21: 10 5 | waste: 0/15
fitness: 1 total_wastage: 0 found at: 87

result 11
0: 6 4 | waste: 0/10
1: 4 7 4 | waste: 0/15
2: 8 5 | waste: 0/13
3: 9 9 7 | waste: 0/25
4: 5 4 8 4 4 | waste: 0/25
5: 9 4 | waste: 0/13
6: 7 8 | waste: 0/15
7: 10 | waste: 0/10
8: 4 3 3 | waste: 0/10
9: 7 4 7 4 | waste: 0/22
10: 8 7 7 | waste: 0/22
11: 10 | waste: 0/10
12: 4 6 | waste: 0/10
13: 3 7 7 3 | waste: 0/20
14: 9 6 | waste: 0/15
15: 7 8 | waste: 0/15
16: 10 | waste: 0/10
17: 7 8 6 4 | waste: 0/25
18: 7 6 | waste: 0/13
19: 10 | waste: 0/10
20: 5 7 7 3 | waste: 0/22
21: 10 | waste: 0/10
22: 10 5 7 3 | waste: 0/25
23: 5 5 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 120

result 12
0: 4 6 5 | waste: 0/15
1: 7 7 3 8 | waste: 0/25
2: 8 7 4 3 | waste: 0/22
3: 4 4 7 | waste: 0/15
4: 8 4 3 | waste: 0/15
5: 4 8 10 3 | waste: 0/25
6: 5 6 4 | waste: 0/15
7: 6 7 | waste: 0/13
8: 6 4 | waste: 0/10
9: 5 4 4 | waste: 0/13
10: 8 7 7 | waste: 0/22
11: 4 7 9 | waste: 0/20
12: 10 | waste: 0/10
13: 7 8 7 | waste: 0/22
14: 10 | waste: 0/10
15: 4 9 | waste: 0/13
16: 10 | waste: 0/10
17: 10 | waste: 0/10
18: 10 | waste: 0/10
19: 7 3 | waste: 0/10
20: 9 7 9 | waste: 0/25
21: 5 7 7 6 | waste: 0/25
22: 3 5 7 5 | waste: 0/20
fitness: 1 total_wastage: 0 found at: 37

result 13
0: 5 4 4 | waste: 0/13
1: 9 5 8 | waste: 0/22
2: 9 4 7 | waste: 0/20
3: 8 4 8 | waste: 0/20
4: 6 7 | waste: 0/13
5: 7 6 | waste: 0/13
6: 7 3 8 7 | waste: 0/25
7: 4 4 7 7 | waste: 0/22
8: 5 10 5 | waste: 0/20
9: 9 6 | waste: 0/15
10: 7 3 7 3 | waste: 0/20
11: 10 | waste: 0/10
12: 6 7 | waste: 0/13
13: 7 8 10 | waste: 0/25
14: 7 8 | waste: 0/15
15: 10 | waste: 0/10
16: 5 4 4 | waste: 0/13
17: 9 7 4 | waste: 0/20
18: 4 3 10 3 | waste: 0/20
19: 7 3 | waste: 0/10
20: 6 7 | waste: 0/13
21: 4 4 5 | waste: 0/13
22: 10 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 217

result 14
0: 9 7 5 4 | waste: 0/25
1: 4 9 5 4 | waste: 0/22
2: 5 8 9 | waste: 0/22
3: 4 6 3 | waste: 0/13
4: 7 3 3 | waste: 0/13
5: 8 7 4 3 | waste: 0/22
6: 7 4 4 | waste: 0/15
7: 8 7 7 | waste: 0/22
8: 5 10 | waste: 0/15
9: 7 6 9 | waste: 0/22
10: 7 8 | waste: 0/15
11: 10 | waste: 0/10
12: 10 | waste: 0/10
13: 8 7 3 4 | waste: 0/22
14: 10 5 7 3 | waste: 0/25
15: 10 | waste: 0/10
16: 7 4 7 4 | waste: 0/22
17: 5 4 6 4 6 | waste: 0/25
18: 7 8 7 | waste: 0/22
19: 6 7 | waste: 0/13
20: 10 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 166

result 15
0: 6 7 7 | waste: 0/20
1: 4 9 | waste: 0/13
2: 6 9 | waste: 0/15
3: 6 9 | waste: 0/15
4: 7 3 | waste: 0/10
5: 4 4 7 | waste: 0/15
6: 9 4 | waste: 0/13
7: 8 7 | waste: 0/15
8: 5 5 | waste: 0/10
9: 5 8 4 3 | waste: 0/20
10: 10 | waste: 0/10
11: 4 10 6 | waste: 0/20
12: 7 8 | waste: 0/15
13: 4 8 3 | waste: 0/15
14: 8 5 7 | waste: 0/20
15: 4 7 4 | waste: 0/15
16: 8 7 7 | waste: 0/22
17: 4 5 6 | waste: 0/15
18: 7 7 7 4 | waste: 0/25
19: 10 10 | waste: 0/20
20: 4 3 3 5 7 | waste: 0/22
21: 10 | waste: 0/10
22: 3 7 | waste: 0/10
23: 10 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 23

result 16
0: 7 6 7 | waste: 0/20
1: 5 8 7 | waste: 0/20
2: 7 9 4 | waste: 0/20
3: 4 5 6 | waste: 0/15
4: 7 5 4 4 | waste: 0/20
5: 7 4 5 4 | waste: 0/20
6: 10 6 4 | waste: 0/20
7: 10 4 6 | waste: 0/20
8: 10 7 3 | waste: 0/20
9: 10 8 7 | waste: 0/25
10: 9 7 4 | waste: 0/20
11: 8 7 7 | waste: 0/22
12: 8 7 | waste: 0/15
13: 7 7 8 | waste: 0/22
14: 7 3 3 4 3 | waste: 0/20
15: 9 4 | waste: 0/13
16: 10 3 | waste: 0/13
17: 9 6 | waste: 0/15
18: 8 4 3 | waste: 0/15
19: 5 5 | waste: 0/10
20: 10 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 38

result 17
0: 7 6 | waste: 0/13
1: 9 4 | waste: 0/13
2: 7 5 4 4 | waste: 0/20
3: 4 8 8 | waste: 0/20
4: 6 4 | waste: 0/10
5: 7 9 4 | waste: 0/20
6: 8 7 | waste: 0/15
7: 5 3 7 | waste: 0/15
8: 7 8 | waste: 0/15
9: 9 4 | waste: 0/13
10: 8 5 | waste: 0/13
11: 7 6 | waste: 0/13
12: 3 3 7 | waste: 0/13
13: 7 5 10 3 | waste: 0/25
14: 10 | waste: 0/10
15: 7 8 | waste: 0/15
16: 7 5 4 4 | waste: 0/20
17: 4 4 5 | waste: 0/13
18: 10 | waste: 0/10
19: 10 | waste: 0/10
20: 6 7 7 | waste: 0/20
21: 10 3 | waste: 0/13
22: 10 | waste: 0/10
23: 9 4 | waste: 0/13
24: 7 3 | waste: 0/10
25: 6 7 | waste: 0/13
fitness: 1 total_wastage: 0 found at: 31

result 18
0: 7 3 | waste: 0/10
1: 6 10 4 | waste: 0/20
2: 8 8 4 | waste: 0/20
3: 7 9 4 | waste: 0/20
4: 7 7 6 5 | waste: 0/25
5: 8 7 7 | waste: 0/22
6: 10 | waste: 0/10
7: 7 8 | waste: 0/15
8: 10 5 | waste: 0/15
9: 9 5 4 4 | waste: 0/22
10: 9 4 | waste: 0/13
11: 5 8 | waste: 0/13
12: 3 4 3 | waste: 0/10
13: 4 6 | waste: 0/10
14: 10 7 3 | waste: 0/20
15: 10 | waste: 0/10
16: 7 5 5 8 | waste: 0/25
17: 7 3 7 3 | waste: 0/20
18: 10 6 4 | waste: 0/20
19: 6 7 7 | waste: 0/20
20: 9 7 4 | waste: 0/20
21: 4 7 4 | waste: 0/15
fitness: 1 total_wastage: 0 found at: 51

result 19
0: 3 9 3 | waste: 0/15
1: 8 6 6 | waste: 0/20
2: 4 8 5 4 4 | waste: 0/25
3: 7 7 8 | waste: 0/22
4: 7 3 3 | waste: 0/13
5: 4 7 10 4 | waste: 0/25
6: 4 7 4 | waste: 0/15
7: 10 | waste: 0/10
8: 10 10 | waste: 0/20
9: 9 7 4 | waste: 0/20
10: 6 7 9 | waste: 0/22
11: 7 7 6 | waste: 0/20
12: 4 5 7 4 | waste: 0/20
13: 10 | waste: 0/10
14: 7 3 | waste: 0/10
15: 7 8 | waste: 0/15
16: 9 7 4 | waste: 0/20
17: 10 | waste: 0/10
18: 5 7 5 8 | waste: 0/25
19: 3 6 4 | waste: 0/13
20: 8 7 | waste: 0/15
21: 5 5 | waste: 0/10
fitness: 1 total_wastage: 0 found at: 84

result 20
0: 4 9 7 | waste: 0/20
1: 8 7 | waste: 0/15
2: 6 7 | waste: 0/13
3: 9 5 8 | waste: 0/22
4: 9 4 | waste: 0/13
5: 6 8 4 7 | waste: 0/25
6: 4 7 4 | waste: 0/15
7: 10 | waste: 0/10
8: 7 7 3 3 | waste: 0/20
9: 8 5 | waste: 0/13
10: 3 5 5 | waste: 0/13
11: 5 4 4 | waste: 0/13
12: 6 4 3 | waste: 0/13
13: 10 | waste: 0/10
14: 10 | waste: 0/10
15: 9 5 6 | waste: 0/20
16: 7 3 | waste: 0/10
17: 7 3 | waste: 0/10
18: 6 7 | waste: 0/13
19: 4 7 7 4 | waste: 0/22
20: 4 4 7 | waste: 0/15
21: 10 | waste: 0/10
22: 7 10 8 | waste: 0/25
23: 10 7 8 | waste: 0/25
fitness: 1 total_wastage: 0 found at: 118


1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1 
56, 89, 35, 176, 72, 103, 83, 63, 56, 87, 120, 37, 217, 166, 23, 38, 31, 51, 84, 118 
